Wall time,Step,Value
1678579949.0608997,0,0.5763400793075562
1678580510.7755125,1,0.661156952381134
1678581095.8402858,2,0.7119209170341492
1678581712.7434244,3,0.6844914555549622
1678582355.3096597,4,0.7486650943756104
1678582968.0986726,5,0.6958960294723511
1678583587.7790477,6,0.7699311375617981
1678584182.3833623,7,0.7510374188423157
1678584686.943619,8,0.7669559717178345
1678585146.5140724,9,0.8311978578567505
1678585603.9462273,10,0.8332647085189819
1678586028.1844792,11,0.8211931586265564
1678586449.465673,12,0.8496294617652893
1678586872.460094,13,0.7983390092849731
1678587402.9700446,14,0.842149555683136
1678587827.4435108,15,0.837807834148407
1678588306.1952581,16,0.8511865139007568
1678588731.0922356,17,0.8699243068695068
1678589157.2609384,18,0.8523415327072144
1678589586.5969653,19,0.8489896655082703
1678590010.6102145,20,0.8554403781890869
1678590430.469914,21,0.8615695238113403
1678591130.894188,22,0.8553053140640259
1678591875.8990073,23,0.8698005080223083
1678592324.2970135,24,0.8805733919143677
1678592962.747131,25,0.8722785115242004
1678593900.0506196,26,0.8987944722175598
1678594752.5860207,27,0.888067364692688
1678595664.6663482,28,0.8574662804603577
1678596577.785973,29,0.8739833235740662
1678597490.6814063,30,0.8867341876029968
1678598375.058452,31,0.8681223392486572
1678599291.95765,32,0.886337399482727
1678600159.8709662,33,0.8856214880943298
1678600990.1413987,34,0.8694609999656677
1678601850.3882298,35,0.8690972328186035
1678602683.6984563,36,0.8955153822898865
1678603572.3554115,37,0.8869857788085938
1678604458.5661724,38,0.896854043006897
1678605346.0486207,39,0.8877308368682861
1678606086.039204,40,0.9039124250411987
1678606553.0656464,41,0.8983270525932312
1678606979.8257384,42,0.9009748101234436
1678607400.0068152,43,0.9000268578529358
1678607820.4928215,44,0.8931903839111328
1678608240.5983882,45,0.8988314867019653
1678608661.9303145,46,0.906452476978302
1678609083.8325136,47,0.8902410268783569
1678609511.1587465,48,0.9029398560523987
1678609936.2002504,49,0.9078841209411621
1678610357.6317782,50,0.9076923727989197
1678610779.9140372,51,0.8916584253311157
1678611200.8332405,52,0.8981322646141052
1678611621.641366,53,0.8981633186340332
1678612042.514986,54,0.9174229502677917
1678612463.5563815,55,0.9015263319015503
1678612884.5590672,56,0.9177955985069275
1678613308.0918937,57,0.9074569940567017
1678613733.1490958,58,0.9092807769775391
1678614220.5218492,59,0.9072883129119873
1678614724.837926,60,0.8999722599983215
1678615236.794246,61,0.9089410305023193
1678615754.8220682,62,0.8998351693153381
1678616276.0792344,63,0.9005224108695984
1678616799.7586212,64,0.8945298790931702
1678617325.8481545,65,0.8958390355110168
1678617817.2408948,66,0.916810929775238
1678618247.2868757,67,0.9209641218185425
1678618672.6097455,68,0.9283410310745239
1678619097.3990247,69,0.914832353591919
1678619521.3638177,70,0.9109000563621521
1678619945.0963485,71,0.9074445962905884
1678620369.3356411,72,0.9095398187637329
1678620792.587424,73,0.9096143245697021
1678621215.9932368,74,0.9039925336837769
1678621641.9548826,75,0.9020153880119324
1678622066.5628176,76,0.9045416116714478
1678622489.4937558,77,0.9022285342216492
1678622912.2988954,78,0.9093371033668518
1678623336.1057796,79,0.9118963479995728
1678623758.1662798,80,0.9154314994812012
1678624180.9414897,81,0.9084765911102295
1678624604.7148187,82,0.9077901840209961
1678625028.2727017,83,0.9047505855560303
1678625452.4983897,84,0.9097798466682434
1678625882.5561504,85,0.9171097278594971
1678626314.0265708,86,0.919562816619873
1678626744.351073,87,0.9174140095710754
1678627165.6356661,88,0.9143747091293335
1678627585.0754585,89,0.9173368811607361
1678628003.4501028,90,0.9214828014373779
1678628423.2415903,91,0.9249271154403687
1678628861.2717462,92,0.9214987754821777
1678629302.222669,93,0.9221377372741699
1678629745.9411001,94,0.9262598156929016
1678630188.3141363,95,0.9247561693191528
1678630632.3140879,96,0.9222831726074219
1678631080.3838365,97,0.920616865158081
1678631516.3687232,98,0.9227211475372314
1678631965.8238423,99,0.9241775870323181
