Wall time,Step,Value
1678579949.0608997,0,0.031165162101387978
1678580510.7755125,1,0.01385258324444294
1678581095.8402858,2,0.010470385663211346
1678581712.7424245,3,0.011287775821983814
1678582355.3096597,4,0.01076022069901228
1678582968.0986726,5,0.010049620643258095
1678583587.778049,6,0.009082258678972721
1678584182.382363,7,0.008876817300915718
1678584686.943619,8,0.008268265053629875
1678585146.5140724,9,0.007658950053155422
1678585603.9462273,10,0.007638571318238974
1678586028.1844792,11,0.006799677852541208
1678586449.465673,12,0.006961277220398188
1678586872.460094,13,0.006264441646635532
1678587402.9700446,14,0.005934154149144888
1678587827.4425106,15,0.005828637629747391
1678588306.1952581,16,0.005559442099183798
1678588731.0922356,17,0.005087875295430422
1678589157.2609384,18,0.005146634764969349
1678589586.5969653,19,0.004641429055482149
1678590010.6102145,20,0.004832819104194641
1678590430.469914,21,0.0042029814794659615
1678591130.894188,22,0.0037507142405956984
1678591875.8990073,23,0.0040567792020738125
1678592324.2970135,24,0.00396800646558404
1678592962.747131,25,0.0039032381027936935
1678593900.0506196,26,0.0037894027773290873
1678594752.5860207,27,0.0036888013128191233
1678595664.6663482,28,0.003810087451711297
1678596577.785973,29,0.0033151216339319944
1678597490.6814063,30,0.0033224031794816256
1678598375.058452,31,0.003055000677704811
1678599291.95765,32,0.0030179081950336695
1678600159.8709662,33,0.0027169797103852034
1678600990.1413987,34,0.0028242855332791805
1678601850.3882298,35,0.002710312604904175
1678602683.6984563,36,0.0028833760879933834
1678603572.3554115,37,0.0025673904456198215
1678604458.5651739,38,0.0024357778020203114
1678605346.0486207,39,0.0026938447263091803
1678606086.039204,40,0.0025841586757451296
1678606553.0656464,41,0.002338794758543372
1678606979.8257384,42,0.0022948686964809895
1678607400.0068152,43,0.0022845438215881586
1678607820.4928215,44,0.002325852634385228
1678608240.5983882,45,0.0022055739536881447
1678608661.9303145,46,0.0021126919891685247
1678609083.8325136,47,0.0021067503839731216
1678609511.1587465,48,0.0019312407821416855
1678609936.2002504,49,0.0020352727733552456
1678610357.6317782,50,0.0019177860813215375
1678610779.9140372,51,0.0018174259457737207
1678611200.8332405,52,0.0018512080423533916
1678611621.641366,53,0.001917910180054605
1678612042.514986,54,0.0019870135001838207
1678612463.5563815,55,0.002096946816891432
1678612884.5590672,56,0.0016862362390384078
1678613308.0918937,57,0.0015877854311838746
1678613733.1490958,58,0.0017543171998113394
1678614220.5218492,59,0.0018884928431361914
1678614724.837358,60,0.0016927419928833842
1678615236.794246,61,0.0015600442420691252
1678615754.8210623,62,0.0014495861250907183
1678616276.0792344,63,0.0015868396731093526
1678616799.7586212,64,0.0013053559232503176
1678617325.8481545,65,0.0014522167621180415
1678617817.2408948,66,0.0014179768040776253
1678618247.2868757,67,0.0013548069400712848
1678618672.6097455,68,0.0013209334574639797
1678619097.3990247,69,0.001472746953368187
1678619521.3638177,70,0.0013748605269938707
1678619945.0963485,71,0.0013744430616497993
1678620369.3356411,72,0.0012778493110090494
1678620792.587424,73,0.0010999349178746343
1678621215.9932368,74,0.001209924346767366
1678621641.9548826,75,0.0009330658940598369
1678622066.5628176,76,0.0012260593939572573
1678622489.4937558,77,0.0010240746196359396
1678622912.2988954,78,0.0009544625645503402
1678623336.1057796,79,0.0010723641607910395
1678623758.1662798,80,0.000934773008339107
1678624180.9414897,81,0.0009224310051649809
1678624604.7148187,82,0.0009930911473929882
1678625028.2727017,83,0.0009791518095880747
1678625452.4983897,84,0.0008179866708815098
1678625882.5561504,85,0.0009133103885687888
1678626314.0265708,86,0.0009167216485366225
1678626744.351073,87,0.0009741954854689538
1678627165.6356661,88,0.0007222882704809308
1678627585.0744586,89,0.0008866843418218195
1678628003.4501028,90,0.0006710373563691974
1678628423.2415903,91,0.0007698246045038104
1678628861.2717462,92,0.000689290463924408
1678629302.222669,93,0.0005989070050418377
1678629745.9411001,94,0.0006764921708963811
1678630188.3141363,95,0.0006545559735968709
1678630632.3140879,96,0.000735530920792371
1678631080.3838365,97,0.0005819551879540086
1678631516.3687232,98,0.0007157566142268479
1678631965.8238423,99,0.0004997234791517258
