Wall time,Step,Value
1678579949.0608997,0,0.6382137537002563
1678580510.7755125,1,0.6424160599708557
1678581095.8402858,2,0.7147096991539001
1678581712.7424245,3,0.6789432764053345
1678582355.3096597,4,0.7811657786369324
1678582968.0986726,5,0.7967371940612793
1678583587.7790477,6,0.7268486618995667
1678584182.3833623,7,0.7700935006141663
1678584686.943619,8,0.7344477772712708
1678585146.5140724,9,0.7667042016983032
1678585603.9462273,10,0.8291889429092407
1678586028.1844792,11,0.7315850257873535
1678586449.465673,12,0.817230224609375
1678586872.460094,13,0.778313398361206
1678587402.9700446,14,0.8103530406951904
1678587827.4435108,15,0.8069984912872314
1678588306.1952581,16,0.8137292265892029
1678588731.0922356,17,0.8712436556816101
1678589157.2609384,18,0.7809745669364929
1678589586.5969653,19,0.7951730489730835
1678590010.6102145,20,0.8212077617645264
1678590430.469914,21,0.827532947063446
1678591130.894188,22,0.7424891591072083
1678591875.8990073,23,0.84031081199646
1678592324.2970135,24,0.8649178147315979
1678592962.747131,25,0.8135544657707214
1678593900.0506196,26,0.8447749614715576
1678594752.5860207,27,0.8430246114730835
1678595664.6663482,28,0.8442209362983704
1678596577.785973,29,0.8583767414093018
1678597490.6814063,30,0.8480120897293091
1678598375.058452,31,0.8474267721176147
1678599291.95765,32,0.8545630574226379
1678600159.8709662,33,0.8723641037940979
1678600990.1413987,34,0.7873190641403198
1678601850.3882298,35,0.7824419736862183
1678602683.6984563,36,0.8753461837768555
1678603572.3554115,37,0.8327261805534363
1678604458.5651739,38,0.8707927465438843
1678605346.0486207,39,0.8646265268325806
1678606086.039204,40,0.8634163737297058
1678606553.0656464,41,0.8587309718132019
1678606979.8257384,42,0.8453807234764099
1678607400.0068152,43,0.864345908164978
1678607820.4928215,44,0.8633936643600464
1678608240.5983882,45,0.8562533259391785
1678608661.9303145,46,0.8522720336914062
1678609083.8325136,47,0.847714900970459
1678609511.1587465,48,0.889456033706665
1678609936.2002504,49,0.8680853843688965
1678610357.6317782,50,0.8652899861335754
1678610779.9140372,51,0.8472621440887451
1678611200.8332405,52,0.8399555683135986
1678611621.641366,53,0.874219536781311
1678612042.514986,54,0.8753233551979065
1678612463.5563815,55,0.8654636740684509
1678612884.5590672,56,0.8849882483482361
1678613308.0918937,57,0.8977674841880798
1678613733.1490958,58,0.8571323156356812
1678614220.5218492,59,0.8672583699226379
1678614724.837926,60,0.8447641134262085
1678615236.794246,61,0.8742926120758057
1678615754.8210623,62,0.8634774088859558
1678616276.0792344,63,0.8544024229049683
1678616799.7586212,64,0.8577402234077454
1678617325.8481545,65,0.8947009444236755
1678617817.2408948,66,0.8685945272445679
1678618247.2868757,67,0.8934797048568726
1678618672.6097455,68,0.8927664160728455
1678619097.3990247,69,0.8925042152404785
1678619521.3638177,70,0.8536163568496704
1678619945.0963485,71,0.8910374641418457
1678620369.3356411,72,0.8496477603912354
1678620792.587424,73,0.8701967000961304
1678621215.9932368,74,0.8631110787391663
1678621641.9548826,75,0.8679813742637634
1678622066.5628176,76,0.8563398122787476
1678622489.4937558,77,0.8640300631523132
1678622912.2988954,78,0.8790117502212524
1678623336.1057796,79,0.9001473784446716
1678623758.1662798,80,0.8619134426116943
1678624180.9414897,81,0.8952574133872986
1678624604.7148187,82,0.8905168771743774
1678625028.2727017,83,0.8585265874862671
1678625452.4983897,84,0.8691163659095764
1678625882.5561504,85,0.904120922088623
1678626314.0265708,86,0.8778107166290283
1678626744.351073,87,0.9123095273971558
1678627165.6356661,88,0.9037213921546936
1678627585.0754585,89,0.9116830825805664
1678628003.4501028,90,0.8931220769882202
1678628423.2415903,91,0.8911978602409363
1678628861.2717462,92,0.8779007196426392
1678629302.222669,93,0.9223796129226685
1678629745.9411001,94,0.9054712653160095
1678630188.3141363,95,0.8916788697242737
1678630632.3140879,96,0.9000539183616638
1678631080.3838365,97,0.8973295092582703
1678631516.3687232,98,0.897498369216919
1678631965.8238423,99,0.9020929336547852
